feature,n_pairs,mean_norm_imp,median_norm_imp,max_norm_imp
%-bb_width-period_20_shift-1_{TF_4h},36,0.0031909669228898994,0.002260729963272593,0.014066176511517457
%-adx-period_20_shift-2_{BTC_INF}_4h,37,0.0031883964835459425,0.0021900937928755163,0.012374772207942175
%-relative_volume-period_20_shift-1_{TF_4h},36,0.0031843655974120254,0.0022002112278941438,0.015441755947571714
%-roc-period_10_shift-1_{TF_4h},36,0.003177520355618942,0.002084284387653225,0.031841413911471356
%-adx-period_50_shift-1_{BTC_INF}_4h,37,0.0031746580194143836,0.0015467880246456485,0.024338364940511358
%-rsi-period_50_{BTC_INF}_4h,37,0.003153391448069876,0.002193973881631451,0.016864517581212417
%-bb_width-period_20_shift-2_{TF_1h},36,0.0031360129576380427,0.003244159335069907,0.01542426325966016
%-adx-period_10_{TF_1h},36,0.003061819346969148,0.002476164487907427,0.007727127238412387
%-price_position_gen_{TF_1h},36,0.003057335045790798,0.0022544135840034552,0.011060463882705348
%-relative_volume-period_10_{TF_4h},36,0.0030561356634818586,0.001556038803405554,0.022843210704808686
%-adx-period_10_shift-2_{BTC_INF}_1h,37,0.0030203854145405126,0.0019236998590924394,0.012387106014409842
%-bb_width-period_50_shift-1_{TF_4h},36,0.003015255666286355,0.002063552320958467,0.010503071647913507
%-macd_signal_gen_shift-1_{TF_4h},36,0.0030151176830009205,0.0010287542019947087,0.0517470772741132
%-macd_hist_gen_shift-2_{TF_4h},36,0.003014665511123735,0.0019151962447713886,0.01491462886861139
%-adx-period_50_shift-2_{BTC_INF}_1h,37,0.0030101520950084238,0.0020195135848729176,0.02039215600399319
%-bb_width-period_20_shift-1_{BTC_INF}_4h,37,0.0030017112615524934,0.0020049787874720643,0.013434722351745093
%-bb_pct-period_10_shift-2_{BTC_INF}_4h,37,0.002982978754192901,0.0018006475305966648,0.019005723914442562
%-bb_width-period_20_shift-1_{TF_1h},36,0.002981386415847235,0.0015894447894485519,0.023116979373647407
%-adx-period_20_shift-2_{TF_1h},36,0.0029796304945562003,0.0025483161252832275,0.00926085691039432
%-roc-period_10_shift-1_{BTC_INF}_4h,37,0.0029636819199857557,0.001587997093956387,0.023073790560120475
%-macd_hist_gen_shift-2_{BTC_INF}_4h,37,0.0029338113028326085,0.002201484322097786,0.009871623578150716
%-roc-period_20_{BTC_INF}_4h,37,0.002906751185406641,0.0017049959120094826,0.013807104007251644
%-macd_hist_gen_shift-1_{TF_4h},36,0.0028752286087220477,0.001194458340250382,0.01910430052387947
%-rsi-period_20_{TF_4h},36,0.0028617473425495087,0.0017188367619246172,0.0119680803275817
%-ema-period_20_{TF_15m},36,0.0028541540769126193,0.0005648065372530332,0.03972805437324037
%-bb_width-period_50_{BTC_INF}_15m,37,0.002852008556928542,0.0012199980141700676,0.02151629193170536
%-adx-period_20_shift-2_{TF_4h},36,0.002851776763449903,0.001720910825793879,0.013174873451505642
%-roc-period_10_shift-2_{TF_4h},36,0.0028296920539094936,0.0017255703160286996,0.01420379691513905
%-roc-period_50_{TF_1h},36,0.0028194338624782755,0.002077780217635208,0.01277851760898677
%-relative_volume-period_20_shift-2_{TF_4h},36,0.0028180234668247874,0.00232317829461726,0.010995084558855546
%-adx-period_10_shift-1_{BTC_INF}_1h,37,0.0028156190404302964,0.0028920542216461457,0.0064535309675756375
%-relative_volume-period_50_shift-2_{TF_4h},36,0.002810114031701723,0.0019145961719904845,0.008984807848729171
%-bb_width-period_20_shift-2_{TF_4h},36,0.002809571406738913,0.0017610751118995313,0.01222447371983427
%-adx-period_50_shift-2_{TF_15m},36,0.0027986056599411152,0.001988336596726487,0.01721691169220967
%-bb_width-period_10_shift-2_{TF_4h},36,0.0027983372640223835,0.0024318565512870733,0.006140115917944481
%-relative_volume-period_50_shift-2_{BTC_INF}_4h,37,0.002782597092149891,0.0018333357511479292,0.013360575663659943
%-bb_width-period_50_{TF_1h},36,0.002766549356070137,0.0022337375087967985,0.009683654662872064
%-macd_gen_{BTC_INF}_1h,37,0.0027580528373242555,0.0019328150763594611,0.011712493581896508
%-ema-period_50_shift-1_{TF_4h},36,0.0027570488136825413,0.0006982101614643708,0.031396059829793384
%-roc-period_20_shift-1_{TF_4h},36,0.0027445931778692814,0.002627130655877451,0.010013397269534435
%-rsi-period_10_shift-2_{BTC_INF}_4h,37,0.002744208170181908,0.0017711673866403431,0.009437943071035699
%-bb_width-period_50_shift-2_{TF_1h},36,0.0027421835435875097,0.0015589857068204367,0.014005651166387752
%-rsi-period_10_{TF_15m},36,0.002731579620544203,0.002514961164974322,0.0061526009299152475
%-adx-period_20_shift-2_{BTC_INF}_15m,37,0.0027270349327684316,0.002038233880264566,0.010235645649399314
%-roc-period_50_shift-1_{BTC_INF}_4h,37,0.0027008095088547836,0.0022385802500384214,0.013425298603774212
%-ema-period_10_shift-2_{TF_1h},36,0.0026910245370554,0.00019380359531103418,0.07174735449276182
%-adx-period_10_shift-1_{TF_4h},36,0.002654635202964226,0.0019253500268089792,0.011221232078730038
%-atr_gen_shift-2_{TF_4h},36,0.0026516445378555855,0.0017476102265988047,0.02275346977551781
%-relative_volume-period_10_shift-2_{TF_4h},36,0.0026444517617484503,0.0017794666638669945,0.010401608994600818
%-rsi-period_10_{TF_4h},36,0.0026341873046228643,0.0014725859841465709,0.019021517814441613
%-macd_hist_gen_{TF_1h},36,0.002620088656452017,0.0022108529619469883,0.00842045238645536
%-bb_width-period_20_{BTC_INF}_4h,37,0.0025812372111633126,0.0024122096538659074,0.007402024773238119
%-bb_width-period_10_{TF_1h},36,0.002562208433378592,0.002211997603622135,0.009001437345480257
%-relative_volume-period_10_shift-1_{BTC_INF}_4h,37,0.0025581047665934175,0.0018959319290683756,0.007857577335590437
%-bb_width-period_50_{BTC_INF}_1h,37,0.002538185558884273,0.0014379558463096186,0.016486967542260738
%-relative_volume-period_10_shift-1_{TF_4h},36,0.002537050787315828,0.00187294508936112,0.0126119316340835
%-sma-period_20_shift-1_{TF_4h},36,0.0025283053852692265,0.0002330028970495841,0.04808760116739149
%-adx-period_50_shift-2_{BTC_INF}_4h,37,0.0024833146564521343,0.0012580556136861712,0.013438712111793398
%-macd_signal_gen_shift-2_{TF_1h},36,0.0024769985433798426,0.001344792781539649,0.030380110603924558
%-rsi-period_10_{BTC_INF}_4h,37,0.0024711609609144665,0.0007122016886540735,0.02593113939340245
%-adx-period_10_shift-2_{TF_1h},36,0.002466692751327389,0.002187672553849911,0.009018911812922756
%-ema-period_50_shift-2_{TF_1h},36,0.002441364883658433,0.00023306841788004896,0.02307342651269605
%-sma-period_10_{TF_1h},36,0.00244089321598411,0.0005149038469653441,0.02265418582972558
%-adx-period_20_shift-1_{TF_4h},36,0.002439339603044705,0.001373916586575861,0.020978080450584233
%-bb_pct-period_20_{TF_4h},36,0.0024276288013731087,0.0014015201134468043,0.01124658784890579
%-ema-period_10_{BTC_INF}_15m,37,0.0024127754030128274,0.0018869447703622642,0.009361990998336556
%-rsi-period_50_shift-2_{TF_4h},36,0.0024036080019325806,0.0015822394750212706,0.021508628585871263
%-rsi-period_10_shift-1_{TF_4h},36,0.002377717190200681,0.0020309780810722467,0.008569393248877327
%-bb_width-period_10_shift-1_{BTC_INF}_4h,37,0.0023772985355903684,0.00137243208205982,0.010668717568421096
%-fear_greed,37,0.0023764007084772056,0.0008393031545179323,0.020158036898371364
%-rsi-period_50_{BTC_INF}_1h,37,0.0023707513320543254,0.0011582065603976917,0.012572125317142014
%-ema-period_50_{TF_15m},36,0.002351085294932177,0.0006730655210417922,0.033014542836768156
%-relative_volume-period_20_shift-1_{BTC_INF}_4h,37,0.002305990068491048,0.0017031541299817184,0.013809516649410552
%-macd_hist_gen_shift-2_{TF_1h},36,0.0022762402418739828,0.001945764551128066,0.006750208234617837
%-adx-period_50_shift-1_{BTC_INF}_1h,37,0.0022690054999581965,0.0013302021675820701,0.02671215334575646
%-bb_width-period_50_{TF_15m},36,0.00226847339992917,0.0017282454589736388,0.012177075095467471
%-bb_pct-period_10_shift-1_{TF_4h},36,0.002266375361012596,0.0012448013636447053,0.009285987186698616
%-adx-period_20_shift-1_{BTC_INF}_4h,37,0.0022649033847155255,0.0017167060771835678,0.014847924384111533
%-adx-period_10_shift-2_{TF_4h},36,0.0022383927001132175,0.0014013792211052794,0.007515750636874679
%-roc-period_50_shift-2_{TF_4h},36,0.0022277228154870734,0.0019992786684535193,0.00532442878546001
%-bb_width-period_10_shift-2_{BTC_INF}_1h,37,0.0022242480476373583,0.0017462296234320618,0.006495737841293614
%-atr_gen_shift-2_{BTC_INF}_4h,37,0.002222358185660099,0.0010328996387319435,0.02225123510470178
