run,timestamp,ml_threshold,stoploss,ml_exit_threshold,atr_threshold,trades,win_rate,sharpe,max_drawdown,profit_factor,total_profit,pass,error
73,2026-05-05 09:11 UTC,0.6,-0.12,0.6,0.002,930,0.44623655913978494,-4.247353446753565,0.1062617890060362,0.8098612614139298,,False,
74,2026-05-05 09:11 UTC,0.6,-0.12,0.6,0.003,794,0.4420654911838791,-3.4163432931523965,0.09194873701000006,0.8228862744611601,,False,
75,2026-05-05 09:12 UTC,0.6,-0.12,0.65,0.002,930,0.44516129032258067,-4.623517999147349,0.10739200136042935,0.7950713635700839,,False,
76,2026-05-05 09:12 UTC,0.6,-0.12,0.65,0.003,794,0.43954659949622166,-3.753677785021621,0.09253096623000011,0.8073258411829158,,False,
77,2026-05-05 09:13 UTC,0.6,-0.12,0.7,0.002,930,0.443010752688172,-4.855038487750998,0.11292183633801649,0.7864848807876111,,False,
78,2026-05-05 09:13 UTC,0.6,-0.12,0.7,0.003,794,0.43702770780856426,-3.9715783511626577,0.09806394438000007,0.7978832866244007,,False,
79,2026-05-05 09:14 UTC,0.65,-0.12,0.6,0.002,876,0.4531963470319635,-3.312452527890633,0.08334309396120074,0.8396942761991866,,False,
80,2026-05-05 09:14 UTC,0.65,-0.12,0.6,0.003,745,0.45100671140939597,-2.5402878778036286,0.07335223309475138,0.8567205604231807,,False,
81,2026-05-05 09:15 UTC,0.65,-0.12,0.65,0.002,648,0.42901234567901236,-3.7849151651928787,0.08811077537883821,0.7639016605521198,,False,
82,2026-05-05 09:15 UTC,0.65,-0.12,0.65,0.003,548,0.4233576642335766,-3.0694097219655494,0.07579640059000008,0.775967292822276,,False,
83,2026-05-05 09:15 UTC,0.65,-0.12,0.7,0.002,456,0.44298245614035087,-2.4256860535336693,0.061637483369999926,0.7806488680142726,,False,
84,2026-05-05 09:16 UTC,0.65,-0.12,0.7,0.003,381,0.42782152230971127,-2.1371600636397377,0.05823224054000002,0.7739693200367852,,False,
85,2026-05-05 09:16 UTC,0.7,-0.12,0.6,0.002,420,0.4595238095238095,-1.2991225306991114,0.049490266659999976,0.866586482341257,,False,
86,2026-05-05 09:17 UTC,0.7,-0.12,0.6,0.003,350,0.44571428571428573,-1.1154593232958794,0.047311696009999994,0.8652217087727855,,False,
87,2026-05-05 09:17 UTC,0.7,-0.12,0.65,0.002,420,0.45476190476190476,-1.3749421864758093,0.05142699699000002,0.8600824427612086,,False,
88,2026-05-05 09:17 UTC,0.7,-0.12,0.65,0.003,350,0.44285714285714284,-1.1386741540187244,0.04804500834999999,0.8631801998673027,,False,
89,2026-05-05 09:18 UTC,0.7,-0.12,0.7,0.002,420,0.45714285714285713,-1.3648609149611302,0.05144242724999992,0.8612863562296751,,False,
90,2026-05-05 09:18 UTC,0.7,-0.12,0.7,0.003,350,0.44571428571428573,-1.1294891338556126,0.048060438610000006,0.8644911306830902,,False,
